user_id,n_visits,n_hubs,noise_ratio,hub1_share,hub2_share,hub1_size,hub2_size,hub_dist_km,travel_range_km,type
-0MIp6WKJ8QvGnYZQ5ETyg,19,4,0.21052631578947367,0.4,0.2,6,3,18.819036384732875,1.1269443585793262,explorer
-1VbC_BSr9ai4drsuCCJxA,7,1,0.42857142857142855,1.0,0.0,4,0,,0.5981485991285074,one_area
-6DoXmdXEy_P5N-QZzntgA,12,1,0.5,1.0,0.0,6,0,,0.4348292286657076,one_area
-6cPEM5jtb6A2M6mggn47g,10,1,0.0,1.0,0.0,10,0,,0.6710078999350269,one_area
-8lbUNlXVSoXqaRRiHiSNg,9,2,0.1111111111111111,0.625,0.375,5,3,14.67642871059205,0.30276548925482627,explorer
-DLVCiMg_uM0ihm8PcHWcw,7,1,0.0,1.0,0.0,7,0,,0.7099032074235284,one_area
-EYAh6B8abzsq8ld_XGoRw,12,1,0.5833333333333334,1.0,0.0,5,0,,2.751658813833806,one_area
-Hm4V0KMXftGms0O-uHZiw,5,1,0.4,1.0,0.0,3,0,,1.4646796148671495,one_area
-MiV-B9p4rO652My4HjYlA,5,1,0.4,1.0,0.0,3,0,,0.40311587175516955,one_area
-PR-NbnExaqupp8rJRHB8g,5,0,1.0,0.0,0.0,0,0,,,explorer
-Q-PQD7nZ1dhADQTYwlsOA,14,2,0.35714285714285715,0.6666666666666666,0.3333333333333333,6,3,22.48400293140664,2.2908305543848426,explorer
-QmEKJ_CzZnT9biZHddfZQ,106,1,0.009433962264150943,1.0,0.0,105,0,,1.792940166673011,one_area
-TQmf01XtBe5jOkHb84WPA,10,1,0.3,1.0,0.0,7,0,,2.0797682765199705,one_area
-YXBkT3IAz1tUNKLtmvx0A,9,2,0.0,0.6666666666666666,0.3333333333333333,6,3,754.5350030842881,0.8499058116030438,explorer
-ZQK7CcOHeMwsoG7qKBGkA,8,1,0.5,1.0,0.0,4,0,,1.4188029775217443,one_area
-_yn1IOKetBJuPxfK6u8IA,56,1,0.07142857142857142,1.0,0.0,52,0,,2.6518409870461452,one_area
-a3lBj2ulBxrIwZf4zdMTA,5,1,0.0,1.0,0.0,5,0,,1.4201534470954973,one_area
-j1-ixhH0IhAlBXwdjpBug,6,1,0.5,1.0,0.0,3,0,,0.09876399864019741,one_area
-l0-k3ezghmIHCtCnrTdLA,21,1,0.14285714285714285,1.0,0.0,18,0,,3.072976625420827,one_area
